time,open,high,low,close,tick_volume,spread,real_volume,return,rsi,signal
2024-07-15 18:00:00,1.09091,1.09146,1.08972,1.09035,9177,55,0,,,0
2024-07-15 19:00:00,1.09035,1.09037,1.08905,1.08921,6922,55,0,-0.001045535837116418,,0
2024-07-15 20:00:00,1.08921,1.0899,1.08906,1.08986,3356,55,0,0.0005967627913809892,,0
2024-07-15 21:00:00,1.08986,1.08986,1.08936,1.0896,3309,55,0,-0.00023856275117917214,,0
2024-07-15 22:00:00,1.0896,1.08964,1.08916,1.08916,1067,55,0,-0.0004038179148311283,,0
2024-07-15 23:00:00,1.08917,1.08964,1.08912,1.0893,477,55,0,0.00012853942487800474,,0
2024-07-16 00:00:00,1.08932,1.08942,1.08914,1.08917,727,55,0,-0.00011934269714497514,,0
2024-07-16 01:00:00,1.08916,1.08958,1.08916,1.08954,950,55,0,0.0003397082181844091,,0
2024-07-16 02:00:00,1.08954,1.08955,1.08881,1.08886,2168,55,0,-0.0006241165996658804,,0
2024-07-16 03:00:00,1.08886,1.08907,1.08875,1.089,2121,55,0,0.0001285748397406028,,0
2024-07-16 04:00:00,1.089,1.0890900000000001,1.0886,1.08882,1486,55,0,-0.00016528925619840873,,0
2024-07-16 05:00:00,1.08882,1.08913,1.0888,1.08904,1303,55,0,0.00020205359930947075,,0
2024-07-16 06:00:00,1.08904,1.08918,1.08891,1.08897,984,55,0,-6.4276794240814e-05,,0
2024-07-16 07:00:00,1.08896,1.08898,1.08843,1.08858,1661,55,0,-0.0003581365877847187,31.60083160083417,0
2024-07-16 08:00:00,1.08858,1.0888,1.08809,1.08859,4086,55,0,9.186279372963568e-06,31.742738589211967,0
2024-07-16 09:00:00,1.08859,1.08976,1.08857,1.08966,4981,55,0,0.000982922863520752,54.73684210526355,0
2024-07-16 10:00:00,1.08965,1.09,1.08911,1.08976,5295,55,0,9.177174531505017e-05,48.809523809523995,0
2024-07-16 11:00:00,1.08976,1.0901399999999999,1.0891,1.08952,6046,55,0,-0.00022023197768317182,49.04306220095865,0
2024-07-16 12:00:00,1.08952,1.09003,1.08933,1.08962,4792,55,0,9.178353770455949e-05,55.989583333334885,0
2024-07-16 13:00:00,1.08963,1.09012,1.08917,1.08993,4585,55,0,0.0002845028542060035,57.85536159601147,0
2024-07-16 14:00:00,1.08992,1.09028,1.08728,1.0878,13944,55,0,-0.0019542539429137085,38.60232945091635,0
2024-07-16 15:00:00,1.0878,1.08805,1.08688,1.08803,8912,55,0,0.00021143592572170355,37.13798977853587,0
2024-07-16 16:00:00,1.08804,1.08821,1.08705,1.08759,7079,55,0,-0.00040440061395363713,38.72113676731903,0
2024-07-16 17:00:00,1.08759,1.08834,1.08756,1.08818,5313,55,0,0.0005424838404177734,43.25657894736792,0
2024-07-16 18:00:00,1.08818,1.08863,1.08785,1.08861,3894,55,0,0.0003951552132921421,48.34123222748955,0
